adjusted_date,headline,summary
2022-07-19 04:00:00+00:00,"Bank of America to  51? Plus Mizuho Predicts  6 For This Stock Credit Suisse Maintains Outperform on Bank of America, Lowers Price Target to  43 Barclays Maintains Overweight on Bank of America, Lowers Price Target to  51 Market Volatility Increases Following Monday's Sell Off Markets Bet On Futures With Declining Fear Levels","  	Barclays reduced  Bank of America Corporation   NYSE  BAC  price target from  58 to  51. Bank of America shares rose 0.7  to  32.49 in pre market trading.   nan nan U.S. market saw sharp turnaround on Monday, with the Dow Jones, along with other major indices closing lower after recording sharp gains earlier during the session.    The Chicago Board Options Exchange& 39 s CBOE Volatility Index  VIX  rose around 3.6  to 25.11 on Tuesday. The CNN Money Fear and Greed index showed US stock markets remained in the & 34 fear& 34  zone on Tuesday, but saw some easing in the fear level."
2022-07-20 04:00:00+00:00,Looking At Bank of America's Recent Whale Trades Is Bank of America Heading Toward  38? Here's What The Chart Says Bank of America Raises Quarterly Dividend From  0.21 To  0.22 Share,A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 28 strange trades. Bank of America Corp  NYSE  BAC  was trading flat on Thursday in continued consolidation after soaring up more than 13  between July 14 and July 19. The sharp rise paired with the sideways consolidation has settled the stock into a possible bull flag pattern. nan
2022-07-21 04:00:00+00:00,"If You Invested  1,000 When Jim Cramer Said Buy These 5 Stocks, Here's How Much You'd Have Now","Love him or hate him, Jim Cramer has a massive audience."
2022-07-22 04:00:00+00:00,"As Snap Spooks Market, Here Are The Hits & Misses Of Q2 Reporting Season","Snap, Inc.  NYSE  SNAP  was among the high profile disappointment thus far in the second quarter reporting season."
2022-07-24 04:00:00+00:00,Monday Market Update This Is What Whales Are Betting On Bank of America,"Good Morning Everyone!    Remember, it s the best time to buy great companies at a great price and leave them alone. Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
2022-07-27 04:00:00+00:00,"If You Invested  1000 In This Stock 10 Years Ago, You Would Have  4,500 Today Bank Of America CEO Moynihan, Deloitte CEO Renjen Among CEOs To Participate In Event With President Biden At 2 15 p.m.","Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 5.2  on an annualized basis producing an average annual return of 16.46 . Currently, Bank of America has a market capitalization of  266.17 billion.  nan"
2022-07-28 04:00:00+00:00,Bank of America Whale Trades For July 29,A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 45 strange trades.
2022-07-31 04:00:00+00:00,Apple Seeks To Raise Money Via Debt For Buyback And Dividends,  
2022-08-01 04:00:00+00:00,Bank of America Whale Trades Spotted,A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.    Looking at options history for Bank of America  NYSE BAC  we detected 17 strange trades.
2022-08-02 04:00:00+00:00,Meta Platforms Is Exploring Its First Potential Bond Sale  What Investors Need To Know,Meta Platforms Inc  NASDAQ  META  has asked several banks to set up investor meetings for what would be the company& 39 s first ever bond sale. Shares of Facebook& 39 s parent company appear to be responding well to the news. 
2022-08-04 04:00:00+00:00,"Celsius Seeks To Rehire CFO At  93,000 A Month, Customers   Not Surprisingly   Object","Bankrupt crypto lending platform Celsius has sought a judge& 39 s permission to reinstate the company s former CFO Rod Bolger and pay him  93,000 each month over a minimum of six weeks."
2022-08-05 04:00:00+00:00,Berkshire's Debt Investments Help Mitigate Equity Related Losses In Q2  These 5 Companies Made Up 69  Of Equity Portfolio,Warren Buffett s Berkshire Hathaway  NYSE  BRK A   NYSE  BRK B  announced on Saturday 
2022-08-08 04:00:00+00:00,"Elon Musk Dares Twitter's Parag Agrawal, Climate Bill Scrapes Through, Fed Official Steps Up Hawkish Rhetoric And More  5 Key Stories You May Have Missed From This Weekend","The weekend that went past had its fair share of action, with Washington lawmakers keeping companies and investors on tenterhooks regarding the Senate clearance of the climate bill before finally approving it. With earnings still on the radar and key inflation data due in the unfolding week, here& 39 s a recap of a few major headlines that hit the wire over the weekend "
2022-08-09 04:00:00+00:00,Four REITS That Pay Monthly Dividends 9 Financials Stocks Whale Activity In Today's Session Bank Of America's Premarket Movement  What To Watch For As The Stock Trades In This Pattern,"One of the big advantages of owning certain real estate investment trusts  REITs  over common stock is this  Some pay dividends monthly. Stocks pay dividends quarterly, which is nice, but monthly sounds better to more than a few investors. With that in mind, here are five REITs paying the monthly dividends.      This whale alert can help traders discover the next big trading opportunities.    Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Bank of America Corp.  NYSE  BAC  was trading slightly higher in the premarket on Wednesday after a slightly bullish day on Tuesday caused the stock to close 1.28  higher."
2022-08-10 04:00:00+00:00,These 3 Dividend Yielding Stocks Are Warren Buffett's Top Owned Positions In Berkshire This Is What Whales Are Betting On Bank of America,"When looking for consistent stocks that offer dividends, Warren Buffett s Berkshire Hathaway Inc  NYSE  BRK A   NYSE  BRK B  can offer a roadmap for those looki      Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .    And retail traders should know.    We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
2022-08-12 04:00:00+00:00,"Amazon And Others Likely To Gain From Strong Back To School Spending, BofA Says New York Times Taps Bank of America,  Sidley Austin for Defense Against Valueact Capital Management Why Jim Cramer Says This Financial Stock Is 'Terrific'","The back to school shopping season has kicked off firmly, cooling some concerns about U.S. nan On CNBC s & 34 Mad Money Lightning Round,& 34  Jim Cramer said The Charles Schwab Corporation  NYSE  SCHW  is & 34 terrific.& 34 "
2022-08-14 04:00:00+00:00,"JP Morgan, Bank Of America Are Among Banks Moving Back Into Russian Bond Trading If You Invested  100 In This Stock 10 Years Ago, You Would Have  400 Today","nan      Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 4.29  on an annualized basis producing an average annual return of 15.92 . Currently, Bank of America has a market capitalization of  288.31 billion."
2022-08-15 04:00:00+00:00,"Warren Buffett's Berkshire Takes Another Bite Of Apple, Boosts Energy Holdings, Cashes Out Of Verizon  What 13F Filing Reveals","Warren Buffett owned  Berkshire Hathaway, Inc. s  NYSE  BRK A   NYSE  BRK B  portfolio saw some noteworthy and a few other nominal changes in the second quarter, according to the company& 39 s 13F filing."
2022-08-17 04:00:00+00:00,What Are Whales Doing With Bank of America,     Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .    And retail traders should know.    We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-08-21 04:00:00+00:00,Bank of America Whale Trades For August 22 Where's the S&P 500 Headed Next? Impending Bull Market Or Bear Market Rally? New York Mets Owner Steven Cohen Bulked Up On These 5 High Yielding Stocks In Q2,"Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .    And retail traders should know.    We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. On Friday, the SPDR S&amp P 500  ACRA  SPY  suffered its first big bearish day since July 26, sliding 1.35  and printing a bearish Marubozu candlestick, which suggests lower prices are likely to come again on Monday. For those unfamiliar, Steven Cohen is an American billionaire hedge fund manager that founded Point72 Asset Management and is the owner of Major League Baseball Team the New York Mets."
2022-08-22 04:00:00+00:00,"Here Are Warren Buffett's Best Performing Dividend Stocks The U.S. City With The Highest Rent Growth May Surprise You. Hint  NYC and LA Don't Crack The Top 5 Amazon Looks At Holiday Season To Boost Revenue To Offset Inflation, Here's How","Warren Buffett& 39 s Berkshire Hathaway Inc. Class A  NYSE  BRK A  lists numerous dividend stocks among its holdings, with the highest yielding companies returning at least 3 . After a minor slowdown in rent rise in June, the July National Index from Zumper indicated a return to significant price hikes.   "
2022-08-24 04:00:00+00:00,Bank of America Ramps Up Digital Offerings To Capitalize On Expanding E Commerce Volumes,  
2022-08-25 04:00:00+00:00,Check Out What Whales Are Doing With BAC,A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.    Looking at options history for Bank of America  NYSE BAC  we detected 20 strange trades.
2022-08-29 04:00:00+00:00,"As Warren Buffett Turns 92, Here's How His Top 3 Holdings Did Since His Last Birthday",Berkshire Hathaway Inc  NYSE  BRK A   NYSE  BRK B  CEO and legendary investor Warren Buffett turns 92 today.
2022-09-05 04:00:00+00:00,Check Out What Whales Are Doing With BAC,Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-09-11 04:00:00+00:00,"BofA CEO Says Trading Revenue Will Drop In The Low Single Digits In Q3 Vs Q2 BofA CEO Says Loan Growth Rate Will Slow, Including Mortgage Lending   Barclays Financial Conference What 10 Analyst Ratings Have To Say About Bank of America Financial Industry Regulatory Authority Fines Bank Of America Unit  5M For Large Options Position Reporting Failures",nan nan Analysts have provided the following ratings for Bank of America  NYSE BAC  within the last quarter   nan
2022-09-12 04:00:00+00:00,"Deutsche Bank Maintains Buy on Bank of America, Lowers Price Target to  45 Inflation Fueled Interest Rates Trigger Strong Demand For Citrix Debt",nan   
2022-09-13 04:00:00+00:00,Bank of America is Moving Some of its Russia based Bankers to Dubai,nan
2022-09-14 04:00:00+00:00,Bank of America Whale Trades For September 15,A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 14 strange trades.
2022-09-16 04:00:00+00:00,Charlie Munger Holds These 2 Dividend Stocks And Shares 1 With Warren Buffett,"Warren Buffett s right hand man and Vice Chairman of Berkshire Hathaway  NYSE  BRK A   NYSE  BRK B , Charlie Munger, first worked for Buffett s grandfather before becoming a partner."
2022-09-19 04:00:00+00:00,"Check Out What Whales Are Doing With BAC Credit Card Holders Are Struggling To Make Payments  Why The Biggest Losers Are Goldman Sachs, Apple Pay","Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Big credit card issuers have released data for delinquency and charge offs for the month of August, lending a glimpse into the latest spending habits of Americans."
2022-09-20 04:00:00+00:00,"Bank Of America CEO Brian Thomas Moynihan Says Concerned About Long Term Competition From Chinese Banks Royal Caribbean Said on Sept 19, Amended Unsecured Term Loan Agreement With Bank of America to Extend Maturity Date of Advances to Oct 2024",nan nan
2022-09-21 04:00:00+00:00,"'WATCH LIVE  Jamie Dimon And Other Bank CEOs Get Grilled By Congress, Second Day Of Hearings'   CNBC",nan
2022-09-22 04:00:00+00:00,"This Chipmaker Stock Has A Better 5 Year Return Than Bitcoin, Ethereum, Amazon, Apple, Nvidia, Microsoft, Ford And Starbucks","Advanced Micro Devices, Inc. s  NASDAQ  AMD  high performance computing and visualization products help gamers get the most from their favorite titles, and over the past five years, the most out of investors& 39  portfolios."
2022-09-24 04:00:00+00:00,'A Hard Landing Scenario Is Inevitable'  Goldman Sachs Cuts S&P500 Targets As Investors Flock Into Cash,Goldman Sachs  NYSE  GS  is reducing its valuation projection for the S&amp P 500 as rising interest rates signal bad times for stock prices.    Investors are reacting by shunning most asset classes and going into cash as a way to weather the storm.
2022-09-25 04:00:00+00:00,What Are Whales Doing With Bank of America WATCH  Disturbing Video Shows Just How Close Bankers And Politicians Really Are," A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 26 strange trades. In 2022, politics are as polarized and divisive as ever. However, there are still some things that most Americans agree on. The notion that those in charge of regulating banks should not be the same people running the banks, is one of those ideas that I hope most Americans can agree on."
2022-09-26 04:00:00+00:00,10 Financials Stocks Whale Activity In Today's Session Analyzing Bank of America's Short Interest,"This whale alert can help traders discover the next big trading opportunities.    Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner.  Bank of America& 39 s  NYSE BAC  short percent of float has risen 21.0  since its last report. The company recently reported that it has 84.58 million shares sold short, which is 1.21  of all regular shares that are available for trading."
2022-09-27 04:00:00+00:00,"Looking At Bank of America's Recent Whale Trades UPDATE  CFTC Says Bank Of America To Pay  100M In Penalty, While Barclays, Credit Suisse, Citigroup, Goldman Sachs, Morgan Stanley, UBS, Deutsche Bank To Each Pay  75M CFTC Orders 11 Financial Institutions To Pay Over  710M For Recordkeeping, Supervision Failures For Widespread Use Of Unapproved Communication Methods", A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 22 strange trades. nan nan
2022-09-28 04:00:00+00:00,"Here's What To Watch On Bank Of America Stock Following Fed's Latest Rate Hike Fed Says It Expects Pilot Climate Scenario Analysis Exercise To Publish Aggregate Findings From Exercise With No Firm Specific Information, Exercise Will Not Have Capital Consequences Federal Reserve Announces Bank Of America, Citigroup, Goldman Sachs, Jpmorgan Chase, Morgan Stanley And Wells Fargo Will Participate In Pilot Climate Scenario Analysis Exercise In 2023,  Expected To Conclude Around End Of The Year SEC Penalizes 16 Wall Street Firms For Using Personal Devices To Discuss Trades, Clients","Bank of America Corp.  NYSE  BAC  opened lower on Thursday    The banking sector, like many sectors, has been negatively affected by soaring inflation and rising interest rates. nan nan   "
2022-10-02 04:00:00+00:00,"If You Invested  100 In This Stock 10 Years Ago, You Would Have  300 Today What Are Whales Doing With Bank of America"," Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 3.16  on an annualized basis producing an average annual return of 12.99 . Currently, Bank of America has a market capitalization of  250.90 billion.   A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 12 strange trades."
2022-10-03 04:00:00+00:00,Where Bank of America Stands With Analysts," Within the last quarter, Bank of America  NYSE BAC  has observed the following analyst ratings  "
2022-10-04 04:00:00+00:00,"Bank of America To  36? Plus This Analyst Slashes PT On Citigroup Goldman Sachs Maintains Buy on Bank of America, Lowers Price Target to  40",  	Morgan Stanley cut  Bank of America Corporation   NYSE  BAC  price target from  40 to  36. Bank of America shares fell 2.4  to  31.62 on Wednesday.   nan
2022-10-05 04:00:00+00:00,"'Elon Musk's Revived Twitter Deal Could Saddle Banks With Big Losses'   WSJ Morgan Stanley Slashes Price Targets On Citigroup, Goldman Sachs, JPMorgan And Other Bank Stocks Morgan Stanley Maintains Equal Weight on Bank of America, Lowers Price Target to  36",nan   	Morgan Stanley lowered price target on Bank of America  NYSE  BAC  from  40 to  36. Morgan Stanley analyst Betsy Graseck maintained the stock with an Equal Weight.   nan
2022-10-06 04:00:00+00:00,Why Bank Of America Stock Options Suggest Upside After Q3 Earnings,"On CNBC& 39 s & 34 Options Action,& 34  Brian Stutland of Equity Armor Investments said that Bank of America Corp  NYSE  BAC  traded at 1.4 times its average daily call volume on Wednesday."
2022-10-07 04:00:00+00:00,Ambac Settles RMBS Litigations Against Bank Of America For  1.84B,nan
2022-10-09 04:00:00+00:00,"Check Out What Whales Are Doing With BAC Bank of America Q3 2022 Earnings Conference Call On October 17, 2022 At 08 30 AM ET","Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .    And retail traders should know.    We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.  Bank of America  NYSE BAC  will host a conference call at 08 30 AM ET on October 17, 2022, to discuss Q3 2022 earnings results."
2022-10-10 04:00:00+00:00,Stocks That Hit 52 Week Lows On Tuesday International Monetary Fund Warns Rapid Rise In Rates Could Fuel Global Economic Disorder  Deteriorating Market Liquidity May Pose Risk To Financial Stability  Central Banks Should Continue To 'Normalize' Rates To Tackle Inflation Ray Dalio Heaps Praise On 'Hero' Ben Bernanke For Winning Economics Nobel  'A Very Rare Breed',"     On Tuesday, 838 companies hit new 52 week lows. nan Former U.S. Federal Reserve Chair Ben Bernanke, along with Douglas W. Diamond and Philip H."
2022-10-11 04:00:00+00:00,Stocks That Hit 52 Week Lows On Wednesday,"     During Wednesday& 39 s trading, 517 companies set new 52 week lows."
2022-10-12 04:00:00+00:00,"What To Watch On Bank Of America As The Stock Spikes In Relief What's Happening With Bank Of America Stock Rebounding Higher Today? Looking Into Bank of America's Recent Short Interest Bank of America Whale Trades Spotted Crypto, Sustainability Are Popular Among Young Investors  Bank of America Survey","Bank of America Corp  NYSE  BAC  was surging more than 7  off the open on Thursday, in tandem with the general markets, which saw the S&amp P 500 trading about 2.6  higher. Bank of America Corp  NYSE  BAC  shares are trading near session highs Thursday afternoon, up by 5.36  to  31.46. Shares of several banks and financial services companies are trading higher as stocks rebound following weakness earlier in the session. Bank of America& 39 s  NYSE BAC  short percent of float has fallen 11.57  since its last report. The company recently reported that it has 74.59 million shares sold short, which is 1.07  of all regular shares that are available for trading.  A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 14 strange trades. Digital assets and sustainability are popular among young investors."
2022-10-13 04:00:00+00:00,"14 Stocks 'About To Pop' According To Jim Cramer  Yum! Brands, Domino's, Bank Of America And More Historic S&P 500 Comeback Runs Out Of Steam  What Are The Market Catalysts Ahead? A Preview Of Bank of America's Earnings","CNBC host and financial television personality Jim Cramer is known for his stock picking capabilities   or to some, a lack thereof.    With the market down in 2022, Cramer found several stocks trading at 52 week lows he thinks could be set to bounce. The SPDR S&amp P 500 ETF Trust  NYSE  SPY  made new 2022 lows this week, but staged a historic intraday recovery following another disappointing batch  Bank of America  NYSE BAC  is set to give its latest quarterly earnings report on Monday, 2022 10 17. Here& 39 s what investors need to know before the announcement.    Analysts estimate that Bank of America will report an earnings per share  EPS  of  0.77."
2022-10-16 04:00:00+00:00,"Top 15 Trending Stocks On WallStreetBets As Of Monday, October 17, 2022  Via Swaggy Stocks  This Is What Whales Are Betting On Bank of America Dow Rises Over 2   S&P 500 Up 100 Points Are Cracks Beginning To Form? Bank Of America Is Watching Credit Card Delinquencies Closely Why Bank of America Shares Are Trading Higher? Here Are 66 Stocks Moving In Monday's Mid Day Session Nasdaq Jumps 300 Points  Bank of America Tops Q3 Estimates Bank Of America Spikes, Schwab Slides  'Strong 3Q Results May Be Tough For Bears To Pick On'  Analyst","nan  A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 50 strange trades. U.S. stocks traded higher toward the end of trading, with the Nasdaq Composite gaining over 300 points on Monday. Bank of America Corp  NYSE  BAC  was out Monday with its current asset quality ratings. Gainers      	FedNat Holding Company  NASDAQ  FNHC  shares rose 78.9  to  0.93 after jumping 48  on Friday.   U.S. stocks traded higher midway through trading, with the Nasdaq Composite gaining over 300 points on Monday. Bank of America Corp.  NYSE  BAC  and The Charles Schwab Corporation  NYSE  SCHW  both printed a third quarter earnings beat on Monday before the market opened."
2022-10-17 04:00:00+00:00,"Chart Wars  Will Bank of America Or Goldman Sachs Fly Higher As Q3 Earnings Season Kicks Off? Goldman Sachs Boss Predicts Recession, Warns Risk Based Businesses  'Time To Be Cautious' Earnings Season Is Here  Tesla, Netflix, IBM, AT&T And More On Deck   But This Stock Could Be 'Most Important' Bank Of America CEO Brian Moynihan Says Expects Net Interest Income To Grow Further From Q4 Through Next Year Bank Of America CFO Alastair Borthwick Expects Q4 Net Interest Income To Reach  1.25B US Stocks Poised For A Rip Roaring Start To Week As Nasdaq, S&P 500 Futures Jump   Tesla, Netflix, BofA, Splunk In Focus Bank Of America CFO Says Added About 5,000 Net Employees In Q3  Includes Advisers, Risk And Control Bank of America CFO Says Not Cutting Jobs In Investment Banking ""At This Stage"" Bank of America CFO Says Leveraged Loan Losses In Q3 Were Lower Than In Q2 US Stock Futures Signal Higher Start On Wall Street  Bank of America Earnings In Focus Bank of America  Q3 Earnings Insights Bank of America Q3 EPS  0.81 Beats  0.77 Estimate, Sales  24.50B Beat  23.60B Estimate Fear Among US Investors Increases After Dow Dips 400 Points Earnings Scheduled For October 17, 2022 Ethereum Surpasses This Major Level  Here Are The Top Crypto Movers For Monday Bank of America, Charles Schwab And 3 Stocks To Watch Heading Into Monday","Bank of America Corp  NYSE  BAC  and Goldman Sachs Group, Inc  NYSE  GS  gapped up to open Tuesday s trading session after Goldman printed better than expected third quarter financials. Goldman Sachs Group Inc.  NYSE  GS  CEO David Solomon is the latest high profile executive to issue a dour economic forecast. The week of Oct. 17 is one of the busiest weeks for publicly traded companies reporting quarterly earnings. nan nan Trading in index futures suggests a markedly higher opening by Wall Street stocks on Monday, as traders look ahead to the unfolding third quarter reporting season with optimism. nan nan nan   Pre open movers    U.S. stock futures traded higher in early pre market trade on Monday after closing lower in the previous session. The Dow Jones dropped by more than 400 points in the previous session, while the Nasdaq tumbled over 300 points. For the week, the Dow added 1.15 , while the S&amp P 500 declined around 1.6 . Bank of America  NYSE BAC  reported its Q3 earnings results on Monday, October 17, 2022 at 06 45 AM.    Here& 39 s what investors need to know about the announcement. nan The CNN Money Fear and Greed index showed a rise in the fear level among US investors. Companies Reporting Before The Bell      Guaranty Bancshares  NASDAQ GNTY  is likely to report quarterly earnings at  0.88 per share on revenue of  33.66 million. Bitcoin  CRYPTO  BTC , the world s most valued cryptocurrency, traded higher, trading above the  19,000 mark this morning. With US stock futures trading higher this morning on Monday, some of the stocks that may grab investor focus today are as follows "
2022-10-18 04:00:00+00:00," 1000 Invested In This Stock 10 Years Ago Would Be Worth  3,500 Today US Stocks' Momentum Set To Continue Tuesday As Nasdaq Futures Lead Rally   Tesla, Goldman, J&J, United Airlines In Focus Fear & Greed Index Moves To 'Fear' Zone After Dow Jumps 550 points Volatility In Markets Decreases Following Upbeat Bank of America Earnings Why Minerva Neurosciences Shares Dipped By Around 70   Here Are 90 Biggest Movers From Yesterday Amazon, Bank of America, Microsoft And Other Big Gainers From Monday"," Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 3.73  on an annualized basis producing an average annual return of 13.73 . Currently, Bank of America has a market capitalization of  271.91 billion.  The major U.S. index futures are pointing to a markedly higher opening for Wall Street stocks on Tuesday, potentially extending the strong gains from the previous session. The third quarter reporting season has provided a shot in the arm for the market, which was languishing amid multiple downward catalysts. The CNN Money Fear and Greed index showed a decline in the fear level among US investors following upbeat corporate earnings reports.    US stocks rebounded on Monday following Friday& 39 s selloff after the UK reversed its proposed tax cuts. U.S. stocks started the week on a strong note on Monday after the UK reversed its proposed tax cuts.    Upbeat quarterly results from Bank of America  NYSE  BAC  also lifted overall market optimism in the previous session. Gainers      	Acorda Therapeutics, Inc.  NASDAQ  ACOR  surged 163.8  to close at  0.8970 on Monday after the company announced a  16.5 million award and royalty supply relief in the AMPYRA arbitration case.   U.S. stocks closed higher on Monday, with the Dow Jones gaining around 550 points. Here is the list of some big stocks recording gains in the previous session."
2022-10-23 04:00:00+00:00,Looking At Bank of America's Recent Whale Trades, A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 18 strange trades.
2022-10-24 04:00:00+00:00,"CNBC Mike Mayo Says Bank Call ""Grand Slam Potential""  Bank Of America Is Mike Mayo's Favorite Pick, U.S. Bancorp Is Sleeper Pick",nan
2022-10-25 04:00:00+00:00,Bank of America Whale Trades For October 25, Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-10-28 04:00:00+00:00,"Are Less People Living Paycheck To Paycheck? BofA Thinks So, Here's Why Younger Investors Are Betting On Stock Market Alternatives While Some Blame That Bet On Impatience","Due to stimulus payments and a period of decreased spending during the height of the 2020 pandemic, Bank of America Corp  NYSE  BAC  revealed that only 12  of its customers have account inflows 85  or less of their outflows. No matter who you talk to, the consensus is that the investment strategy of young investors today is not the same as their father s or mother s."
2022-10-30 04:00:00+00:00,"Analyzing Bank of America's Short Interest 10 Financials Stocks Whale Activity In Today's Session Find Out Why Roger Ferguson, Former Fed Vice Chairman, Thinks The Market Disconnect Is 'A Bit Of A Head Scratcher' Check Out What Whales Are Doing With BAC Japanese Startup Aims To Become Moon's FedEx, Emulating Elon Musk's Martian Colony Dreams","Bank of America& 39 s  NYSE BAC  short percent of float has risen 14.95  since its last report. The company recently reported that it has 85.72 million shares sold short, which is 1.23  of all regular shares that are available for trading.  This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Roger Ferguson, former vice chairman of the Federal Reserve and a director on the board of Alphabet  NASDAQ  GOOGL  since June 2016, joined CNBC s  Squawk Box  earlier Monday to discuss the Fed s   A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 13 strange trades. Tokyo based ispace Inc. plans to launch a lunar lander as part of a NASA contract with a variety of government and commercial payloads in November."
2022-11-01 04:00:00+00:00,Big Downgrade For Twilio  Analysts Cut Price Target Citing 'Intense Competition',Bank of America Corp  NYSE  BAC  Global Research downgraded shares of software company Twilio Inc  NYSE  TWLO  to a sell equivalent Wednesday citing concerns to its revenue forecast amid increased competition.
2022-11-03 04:00:00+00:00," 1000 Invested In This Stock 10 Years Ago Would Be Worth  4,000 Today","Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 4.1  on an annualized basis producing an average annual return of 14.57 . Currently, Bank of America has a market capitalization of  293.50 billion."
2022-11-08 05:00:00+00:00,UK To Cut Surcharge On Bank Profits To 3  To Keep Industry Competitive,nan
2022-11-09 05:00:00+00:00,This Is What Whales Are Betting On Bank of America, A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 32 strange trades.
2022-11-10 05:00:00+00:00,3 Regional Banks Paying Consistent Dividends That Could Be Targets For A Larger Bank,Regional banks are commercial banks that have a slightly smaller scope of operations and have a presence in specific geographic regions compared to banking giants such as Bank of America Corp  NYSE  BAC  and JPMorgan &amp  Chase Co.  NYSE  
2022-11-14 05:00:00+00:00,"JPMorgan Chase Refrained From Loan Funding Large Takeovers Including Elon Musk's Twitter Buyout Citigroup Downgrades Bank of America to Neutral, Announces  40 Price Target","  	JPMorgan Chase &amp  Co  NYSE  JPM  said it did not provide loan backing to takeovers such as Twitter Inc, Citrix Systems Inc, and Nielsen Holdings PLC, which fell in value as markets turned volatile.   nan"
2022-11-15 05:00:00+00:00,"After A Tumultuous Q3, Warren Buffett Holds Onto 2 High Yielding Defensive Stocks 10 Financials Stocks Whale Activity In Today's Session Analyzing Bank of America's Short Interest Several Developed Nations, Allied Groups Come Together With  10B Backing For Indonesia's Efforts On Decarbonization","Warren Buffett, one of the most prolific Wall Street investors, is the fifth wealthiest in the world. The CEO and founder of Berkshire Hathaway Inc.  NYSE  BRK A  boasts a net worth of more than  100 billion. This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Bank of America& 39 s  NYSE BAC  short percent of float has fallen 7.32  since its last report. The company recently reported that it has 79.28 million shares sold short, which is 1.14  of all regular shares that are available for trading.   	At a G 20 meeting, a  20 billion funding plan was announced aimed at helping Indonesia, the world& 39 s largest coal exporter, adopt renewable energy sources.  	Developed countries, including the U.S. and some big banks, have backed the plan as part of efforts to help emerging economies decarbonize.  "
2022-11-17 05:00:00+00:00,A Swiss Banker Says You Should Buy These Semiconductor Stocks,"The semiconductor industry has gotten absolutely crushed in the last year, with the SPDR S&amp P Semiconductor ETF  NYSE  XSD  trading down more than 40  from its highs at one point this year."
2022-11-21 05:00:00+00:00,Here's How Much  100 Invested In Bank of America 10 Years Ago Would Be Worth Today, 
2022-11-27 05:00:00+00:00,"JPMorgan, Other Banks Discuss Refunding Duped Zelle Customers  Report",  
2022-11-29 05:00:00+00:00,"Check Out What Whales Are Doing With BAC Bank of America CEO Said China Covid Shutdowns Will Cause Supply Disruptions Bank of America CEO Brian Moynihan on CNN Said We're Predicting ""Mild Recession"" in 2023",A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.    Looking at options history for Bank of America  NYSE BAC  we detected 21 strange trades. nan nan
